,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
46,The 20 best smartphones in the world,Getting In The Game Puts Your Start Up Investment on the Board (1.23),"Federal Gas Tax Could Increase by 15 Cents, More Costs Possible (1.01)",10 things you need to know in markets today (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Here comes Markit services PMI ... (1.00),Here comes consumer confidence... (1.00),Here comes Wells Fargo... (1.00),Curved Smartphones Trend:  G Flex Ready for the U.S. (1.00),How Venture Capital Deals Have Changed Since the Great Recession (1.00)
47,Here comes consumer confidence...,Getting In The Game Puts Your Start Up Investment on the Board (1.20),10 things you need to know in markets today (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),Here comes Markit services PMI ... (1.00),The 20 best smartphones in the world (1.00),Here comes Wells Fargo... (1.00),Curved Smartphones Trend:  G Flex Ready for the U.S. (1.00),How Venture Capital Deals Have Changed Since the Great Recession (1.00),The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start (1.00),How to Boost Your Retail Sales Into the New Year (1.00)
48,Could Robots Be the Employees of the Future?,Getting In The Game Puts Your Start Up Investment on the Board (1.40),"The story of BPLs amazing comeback, riding the online wave on the shoulders of Flipkart (1.01)",Verizon Plans to Acquire Content Delivery Network EdgeCast (1.00),The Christmas Conspiracy (1.00),LinkedIn Acquires Bizo for a Cool $175 Million (1.00),"Despite the Hype, Few Study Entrepreneurship (1.00)",Accenture launches fifth season of InnovationJockeys (1.00),Why Google Is Taking a $9.5 Billion Hit on Selling Motorola to Lenovo (1.00),10 real problems in India startups can aim to solve (1.00),Spotlight: elMejorTrato Runs a Startup With No Bosses (1.00)
49,The yen is surging,Getting In The Game Puts Your Start Up Investment on the Board (1.34),How 2 of the world's most powerful and dangerous drug lords compare (1.00),Victoria's Secret supermodel reveals everything she eats in a day (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),"China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",iPad Users Get Refund on Office 365 (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00),Curved LG G Flex 2 Phablet a Sequel Improving the Original (1.00),New Dell Tablet Features 3D Camera (1.00),Indian markets welcome GST but see challenges ahead (1.00)
50,Nokia Introduces Asha Smartphones Beginning at Just $69,Getting In The Game Puts Your Start Up Investment on the Board (1.29),Victoria's Secret supermodel reveals everything she eats in a day (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)","China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)",How to Get a Startup Visa Act Passed (1.00),HP Pavilion Mini and Stream Mini Introduced (1.00),Apple Will Introduce Two Curved Phones (1.00)
51,How to Get a Startup Visa Act Passed,Getting In The Game Puts Your Start Up Investment on the Board (1.28),Victoria's Secret supermodel reveals everything she eats in a day (1.00),Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Nokia Introduces Asha Smartphones Beginning at Just $69 (1.00),Apple Will Introduce Two Curved Phones (1.00),How to Boost Your Retail Sales Into the New Year (1.00),First Smartphone Anti-Theft Law Could Also Make Reselling Phones Hard (1.00)
52,"Spring Clean Your Small Business, Twitter Chat Recap",Is Your Small Business Marketing to Hispanic Consumers? (1.00),How Cloud Computing Can Help You Scale Your Business (1.00),Chekkt: A Place To Discover Business Management Software (1.00),Tom Byun of Yahoo! Small Business: Making That Next Sale (1.00),How to Form an LLC or Incorporate a Business (1.00),Working On Your Business Not In It (1.00),Evernote Business: Know What Your Team Knows (1.00),Are You Ready to Start a Small Business? (1.00),The Toughest Franchise Business In The World (1.00),Where Is the Best State to Incorporate Your Business? (1.00)
53,This One Quality Can Make or Break Your Social Media Campaigns,3 Ways to Look at Marketing (1.00),Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How to Leverage Infographics for B2B Marketing (1.00),How Does Social Media Aid Lead Generation? (1.00),Book Review: You Are What You Choose (1.00),Review: Attention! This Book Will Make You Money (1.00),Become a Better Blogger and Writer in 7 Easy Steps (1.00),"Smarter, Faster, Cheaper: A Review (1.00)",Why SMB owners should care about SEO (1.00)
54,Verizon Plans to Acquire Content Delivery Network EdgeCast,Getting In The Game Puts Your Start Up Investment on the Board (1.41),The Christmas Conspiracy (1.01),LinkedIn Acquires Bizo for a Cool $175 Million (1.01),"The story of BPLs amazing comeback, riding the online wave on the shoulders of Flipkart (1.01)",Spotlight: elMejorTrato Runs a Startup With No Bosses (1.01),Could Robots Be the Employees of the Future? (1.00),Modi wants Tesla to set up its factories in India (1.00),SurveyMonkey Introduces New Service To Do Employee Surveys (1.00),"Despite the Hype, Few Study Entrepreneurship (1.00)",JotForm Now Offers Adobe eSign Service (1.00)
55,Amazon Takes Aim at Etsy with Handmade,Getting In The Game Puts Your Start Up Investment on the Board (1.27),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (1.00)",IRS Adopts Taxpayer Bill of Rights (1.00),CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain (1.00),2 Important Things to Know About Viral Videos (1.00),Enterprise Cloud Services Retooled as Google for Work (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),Facebook Messenger hits 1 billion users (1.00),Malicious Apps On Google Play Increase By 388 Percent (1.00),"Yahoo Will Free Up Inactive IDs, Possibly Including Yours (1.00)"
56,iPad Users Get Refund on Office 365,Getting In The Game Puts Your Start Up Investment on the Board (1.34),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00),"China Based Huawei Introduces Five New Devices, Eyes U.S. Market (1.00)"
57,The Kodak Pixpro SP360 Sports a 360 Degree Camera,Getting In The Game Puts Your Start Up Investment on the Board (1.38),Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu (1.00),Modi wants Tesla to set up its factories in India (1.00),UPS Considers Delivery Drones Too (1.00),SurveyMonkey Introduces New Service To Do Employee Surveys (1.00),"Despite the Hype, Few Study Entrepreneurship (1.00)",Plug In and Charge Internationally With the MU System (1.00),eBay Warns Users to Change Passwords After Attack Compromised Files (1.00),JotForm Now Offers Adobe eSign Service (1.00),Wix Introduces Beautiful ShoutOut Newsletters (1.00)
58,The Creative Small Business and 4 Ways to Get There,Hacking of Google Maps May Have Killed This Business (1.00),3 Key Business Marketing Trends for 2014 (1.00),Effective Websites for Small Businesses: A Review (1.00),Practices of Top SEO Companies for Small Businesses (1.00),20 Important LinkedIn Groups for Business (0.99),68 E-Commerce and Shopping Carts for the Small Business (0.99),Why Online Reputation Matters to Small Business (0.99),Raise and Re-Energize Your Business Metabolism (0.99),Small Business News: Tips For Your Next Venture (0.99),Is Your Online Reputation Impacting Your Business? (0.99)
59,2 Important Things to Know About Viral Videos,Getting In The Game Puts Your Start Up Investment on the Board (1.23),IRS Adopts Taxpayer Bill of Rights (1.00),Amazon Takes Aim at Etsy with Handmade (1.00),Reaching the Cloud: Dedicated Ethernet vs Public Internet Connections (1.00),Rs 5000 to Rs 5 crore: An Indore boys graduation from a hacker to an entrepreneur (1.00),"Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC (0.99)",CrowdtiltOpen Allows Free Crowdsourcing on Your Own Domain (0.99),Enterprise Cloud Services Retooled as Google for Work (0.99),Facebook Messenger hits 1 billion users (0.99),Malicious Apps On Google Play Increase By 388 Percent (0.99)
60,Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu,Getting In The Game Puts Your Start Up Investment on the Board (1.38),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Kodak Pixpro SP360 Sports a 360 Degree Camera (1.00),Modi wants Tesla to set up its factories in India (1.00),UPS Considers Delivery Drones Too (1.00),SurveyMonkey Introduces New Service To Do Employee Surveys (1.00),"Despite the Hype, Few Study Entrepreneurship (1.00)",Plug In and Charge Internationally With the MU System (1.00),eBay Warns Users to Change Passwords After Attack Compromised Files (1.00),JotForm Now Offers Adobe eSign Service (1.00)
61,HP Pavilion Mini and Stream Mini Introduced,Getting In The Game Puts Your Start Up Investment on the Board (1.33),How 2 of the world's most powerful and dangerous drug lords compare (1.00),"Intuit Will Acquire Check App, Deal is Worth $360 Million (1.00)",Victoria's Secret supermodel reveals everything she eats in a day (1.00),"New Apple iPad Thinner, Lighter But Still $499 (1.00)",On the Long Road to Economic Recovery? You Decide (1.00),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),The Daily Sprout (1.00),"Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way (1.00)",Your Uncharged Phone Might Not be Allowed on Some Flights (1.00)
62,Modi wants Tesla to set up its factories in India,Getting In The Game Puts Your Start Up Investment on the Board (1.39),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),Verizon Plans to Acquire Content Delivery Network EdgeCast (1.00),The Kodak Pixpro SP360 Sports a 360 Degree Camera (1.00),Want to build a billion dollar organisation without VC money? Learn from Sridhar Vembu (1.00),UPS Considers Delivery Drones Too (1.00),LinkedIn Acquires Bizo for a Cool $175 Million (1.00),SurveyMonkey Introduces New Service To Do Employee Surveys (1.00),The Bengal Famine: How the British engineered the worst genocide in human history for profit (1.00),"Despite the Hype, Few Study Entrepreneurship (1.00)"
63,Become a Better Blogger and Writer in 7 Easy Steps,Better Online Marketing Optimization Through Google Analytics: A Book Review (1.00),Metrics Overload? How to Streamline Marketing Data (1.00),Why Employees Are Always A Bad Idea: A Review (1.00),How Does Social Media Aid Lead Generation? (1.00),Book Review: You Are What You Choose (1.00),Review: Attention! This Book Will Make You Money (1.00),This One Quality Can Make or Break Your Social Media Campaigns (1.00),Why SMB owners should care about SEO (1.00),Is Brand Awareness the Number-One Social Media Goal? (1.00),4 Ways to Encourage Online Reviews (1.00)
64,Union Cabinet approves skill training through Pradhan Mantri Kaushal Vikas Yojana,Getting In The Game Puts Your Start Up Investment on the Board (1.36),Juice Your Apple Devices with this Fun Juice Box Charger (1.00),UPS Considers Delivery Drones Too (1.00),SurveyMonkey Introduces New Service To Do Employee Surveys (1.00),Plug In and Charge Internationally With the MU System (1.00),New Acer Chromebook Introduced with Focus on Mobility (1.00),"Dell Has A New Tablet, iCloud Prices Drop (1.00)",Ten interesting things we read last week (1.00),How 2 of the world's most powerful and dangerous drug lords compare (0.99),"Intuit Will Acquire Check App, Deal is Worth $360 Million (0.99)"
65,Google Grants Available for Nonprofit Organizations,Google AdWords Conversion Import Tracks Offline Sales (1.00),Make Your App Development Easier: Programming JavaScript Applications (1.00),"The Rumors Are True, Facebook Gets Hashtags (1.00)",Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Yelp Data Shows the Power of Mobile Marketing (1.00),Mobile Apps SMBs Should Care About (1.00),A Picture Is Worth A 1000 Words: Pinterest Is On To Something (1.00),Web.com Moves Into Mobile Marketing With SmartCalls (1.00),3 Types of Schema Markup Content Marketers Should Know (1.00),Spreecast: One on One Video Chats Right in Your Web Browser (1.00)
66,Social Media Customer Care Company Raises $1 Million for Growth,20 Steps to a Renewable Energy Plan on a Budget (1.01),10 phrases in your emails that make you sound unprofessional (1.00),"Brands Doing More Content Marketing with Less Return, TrackMaven Says (1.00)","Jupitermedia: Media Analyst, NYC (1.00)",4 Real Reasons to Care About Google Place Pages (1.00),"Culture, Career Development and Networking Blend in Black Faces In White Places (1.00)",Spotlight: Manage A Gazillion Marketing Platforms with Holonis (1.00),Adwords Shopping Campaigns Set to Replace Product Listing Ads (1.00),Teach The Young Entrepreneurs In Your Family With Nacho Money (1.00),Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects (1.00)
